state,district,tehsil,pincode,resource_type,name,address,contact,map_link,distance_km,capacity,availability,priority_score
Maharashtra,Mumbai,City,381262,Ambulance,Ambulance 1,"City Area, Mumbai, Maharashtra",9.1736E+11,https://maps.google.com,1.84,187,1,0.34
Gujarat,Surat,West,395174,Ambulance,Ambulance 2,"West Area, Surat, Gujarat",9.18167E+11,https://maps.google.com,5.94,50,0,0.63
Rajasthan,Pune,East,506440,Fire Station,Fire Station 3,"East Area, Pune, Rajasthan",9.1992E+11,https://maps.google.com,1.71,98,0,0.63
Maharashtra,Jaipur,North,500760,Ambulance,Ambulance 4,"North Area, Jaipur, Maharashtra",9.17946E+11,https://maps.google.com,6.86,100,1,0.91
Rajasthan,Ahmedabad,North,380481,Fire Station,Fire Station 5,"North Area, Ahmedabad, Rajasthan",9.19141E+11,https://maps.google.com,13.09,79,1,0.88
Maharashtra,Ahmedabad,City,416380,Hospital,Hospital 6,"City Area, Ahmedabad, Maharashtra",9.17876E+11,https://maps.google.com,4.31,131,1,0.64
Maharashtra,Jaipur,East,492485,Ambulance,Ambulance 7,"East Area, Jaipur, Maharashtra",9.19637E+11,https://maps.google.com,13.08,48,0,0.62
Rajasthan,Pune,South,427875,Hospital,Hospital 8,"South Area, Pune, Rajasthan",9.19361E+11,https://maps.google.com,11.13,189,0,0.56
Rajasthan,Ahmedabad,East,540462,Hospital,Hospital 9,"East Area, Ahmedabad, Rajasthan",9.1769E+11,https://maps.google.com,5.5,83,0,0.85
Gujarat,Jaipur,North,382448,Police Station,Police Station 10,"North Area, Jaipur, Gujarat",9.18239E+11,https://maps.google.com,12.33,63,0,0.99
Maharashtra,Vadodara,West,524905,Ambulance,Ambulance 11,"West Area, Vadodara, Maharashtra",9.17755E+11,https://maps.google.com,14.78,179,1,0.6
Maharashtra,Surat,South,447537,Fire Station,Fire Station 12,"South Area, Surat, Maharashtra",9.17706E+11,https://maps.google.com,2.85,199,0,0.44
Gujarat,Pune,West,475971,Hospital,Hospital 13,"West Area, Pune, Gujarat",9.18219E+11,https://maps.google.com,6.03,116,0,0.37
Maharashtra,Vadodara,East,457697,Fire Station,Fire Station 14,"East Area, Vadodara, Maharashtra",9.19346E+11,https://maps.google.com,1.51,134,1,0.37
Rajasthan,Surat,South,408801,Police Station,Police Station 15,"South Area, Surat, Rajasthan",9.19193E+11,https://maps.google.com,7.02,34,1,0.71
Gujarat,Pune,South,514040,Ambulance,Ambulance 16,"South Area, Pune, Gujarat",9.1954E+11,https://maps.google.com,0.81,31,0,0.67
Rajasthan,Pune,City,423544,Ambulance,Ambulance 17,"City Area, Pune, Rajasthan",9.18795E+11,https://maps.google.com,2.21,19,0,0.68
Gujarat,Surat,City,497671,Ambulance,Ambulance 18,"City Area, Surat, Gujarat",9.17532E+11,https://maps.google.com,1.14,41,1,0.89
Rajasthan,Pune,North,496461,Police Station,Police Station 19,"North Area, Pune, Rajasthan",9.18689E+11,https://maps.google.com,14.5,169,0,0.41
Gujarat,Ahmedabad,North,409454,Ambulance,Ambulance 20,"North Area, Ahmedabad, Gujarat",9.19439E+11,https://maps.google.com,7.25,99,1,0.66
Maharashtra,Vadodara,North,422293,Police Station,Police Station 21,"North Area, Vadodara, Maharashtra",9.18213E+11,https://maps.google.com,6.71,22,1,0.68
Rajasthan,Vadodara,South,429872,Fire Station,Fire Station 22,"South Area, Vadodara, Rajasthan",9.19019E+11,https://maps.google.com,7.27,23,1,0.95
Maharashtra,Pune,West,526810,Hospital,Hospital 23,"West Area, Pune, Maharashtra",9.17541E+11,https://maps.google.com,9.2,69,0,0.39
Gujarat,Surat,West,505005,Police Station,Police Station 24,"West Area, Surat, Gujarat",9.19209E+11,https://maps.google.com,8.94,83,1,0.59
Maharashtra,Ahmedabad,West,404374,Fire Station,Fire Station 25,"West Area, Ahmedabad, Maharashtra",9.17258E+11,https://maps.google.com,14.52,81,0,0.57
